file_id,ground_truth,transcript,duration,latency,rtf,model,wer,cer
551,"Bạn Vinh là một người có tư chất thực sự. Bạn vừa có một cái sự điềm đạm và vừa có sự thông minh nữa. Ngoài ra trên lớp bạn ấy luôn giúp đỡ các bạn khác. Thực sự rất là nhiệt tình trong việc giảng dạy và bạn ấy luôn hòa đồng với mọi người. Không ai nghĩ bạn ấy là một người cao quá trên mình, bạn lúc nào cũng tỏ ra rất là khiêm tốn. Thực sự là bọn em rất quý bạn ấy, cả lớp đều quý.","Bạn Vinh là một người có tư chất thực sự, bạn vừa có một sự điềm đạm, vừa có sự thông minh nữa. Ngoài ra thì ở trên lớp bạn ấy luôn giúp đỡ các bạn khác, thực sự rất là nhiệt tình trong việc giảng dạy và bạn ấy luôn hòa đồng với mọi người. Không ai nghĩ bạn ấy là một người cao quá trên mình, bạn lúc nào cũng tổ ra rất là khiêm tốn và thực sự bọn em rất quý bạn ấy, cả lớp đều quý.",24.674,20.893,0.8468,qualcomm-whisper-large-v3-turbo,0.07692307692307693,0.05333333333333334
552,"Bạn Quốc Vinh của lớp mình là một học sinh rất là chăm ngoan, lễ phép với thầy cô giáo. Trong tất cả các giờ học thì bạn Vinh đều rất là say sưa học tập. Dù kiến thức đó bạn Vinh có thể đã nắm bắt được trên các giờ học đội tuyển, nhưng mà bạn Vinh rất là khiên tốm.","Đảng Quốc Vinh của lớp mình là một học sinh rất là trong ngoan, lễ phép với thầy cô giáo. Trong tất cả các giờ học thì bạn Vinh đều rất là xoay xưa học tập. Dù kiến thức đó bạn Vinh có thể đã nắm bắt được trên các giờ học đội tuyển, nhưng mà bạn Vinh rất là khiên tốn.",16.8,33.282,1.9811,qualcomm-whisper-large-v3-turbo,0.08064516129032258,0.046153846153846156
553,"Đối với bạn bè thì bạn Vinh rất là hòa đồng và luôn luôn có ý thức giúp đỡ các bạn trong lớp học. Một cái điểm mà mình thấy ở Vinh đáng yêu nhất đó là một cái thái độ thực sự là cầu tiến và say mê với môn học, với tất cả các môn học và đặc biệt là môn toán của mình.","Đối với bạn Về thì bạn Vinh rất là hòa đồng và luôn luôn có ý thức giúp đỡ các bạn trong lớp học. Một cái điểm mà mình thấy ở Vinh đáng yêu nhất đó là một cái thái độ thực sự là cầu tiến và say mê với môn học, với tất cả các môn học và đặc biệt là môn toán của mình.",17.211,38.822,2.2557,qualcomm-whisper-large-v3-turbo,0.015151515151515152,0.0076045627376425855
554,"Nói chung là thuận lợi cái là riêng cái bưởi nó không như vải, bưởi thì thu hoạch dài ngày, ví dụ như thu từ tháng mười, à tháng bảy đến tháng mười. Thế như nhà mình thì đường nó tiện, đường thì nó ô tô vào tận sân lấy được và thương lái người ta tự lấy lấy. Thế những quả mà to mà đạt tiêu chuẩn thì mình bán trước, còn những quả ấy thì mình để lại mình bán sau.","Nói chung là thuận lợi là riêng cái bữa ấy nó không như vải. Bữa ấy thì thu hoạch dài ngày, ví dụ như thu từ tháng 7 đến năm 10. Như nhà mình thì đường nó tiện, đường thì nó ô tô và tận sân lấy được và thương lái người ta tự lấy lấy. Những quả mà to mà đạt tiêu chuẩn thì mình văn trước, còn những quả lấy thì mình để lại văn sau.",17.97,41.833,2.3279,qualcomm-whisper-large-v3-turbo,0.21686746987951808,0.15774647887323945
555,"Trên tinh thần mở rộng đường làng ngõ xóm thì có rất nhiều cái yếu tố mà ảnh hưởng đến công việc tổ chức thực hiện, đặc biệt là hệ thống đường điện cũ. Do vậy là sau khi mà chúng tôi mở rộng đường thì tiếp tục đề xuất với điện lực Hải Dương và điện lực Cẩm Giàng sẽ quan tâm để chuyển toàn bộ các cái chân cột điện ở trong lòng đường. Đấy thì cũng đề nghị các cấp quan tâm và đồng thời là thực hiện.","Trên tinh thần mở rộng đường nàng ngõ xóm thì có rất nhiều yếu tố mà ảnh hưởng đến công việc tổ chức thực hiện, đặc biệt là hệ thống đường điện cũ. Sau khi chúng tôi mở rộng đường thì tiếp tục đề xuất với điện lực Khải Dương, điện lực Cẩm Giàng sẽ quan tâm để chuyển toàn bộ các chân cột điện trong nòng đường. Продолжение следует...",30.821,48.961,1.5886,qualcomm-whisper-large-v3-turbo,0.2857142857142857,0.23037974683544304
556,"Qua quá trình nghiên cứu, thảo luận và đánh giá sách giáo khoa lớp bốn thì nhà trường đã lựa chọn bộ sách cánh diều để đưa vào sử dụng và đối với tổ chuyên môn đã thực hiện nghiêm túc mọi công việc để theo cái quy trình đánh giá và lựa chọn sách giáo khoa mà bộ giáo dục và ủy ban nhân dân tỉnh đã triển khai.","Qua quá trình nghiên cứu, thảo luận và đánh giá sách giáo khoa nước 4, nhà trường đã lựa chọn bộ sách cánh diều để đưa vào sử dụng. Và đối với tổ chuyên môn đã thực hiện nghiêm túc mọi công việc để theo quy trình đánh giá và lựa chọn sách giáo khoa mà Bộ Giáo dục và Ủy ban Nhân dân tỉnh đã triển khai.",26.118,40.214,1.5397,qualcomm-whisper-large-v3-turbo,0.05714285714285714,0.04560260586319218
557,"Đối với nhà trường thì các bộ sách lớp một, lớp hai, lớp ba đã được tiếp nhận và gửi tới các bậc phụ huynh ngay từ cuối năm học.","Đối với nhà trường thì các bộ sách lớp 1, lớp 2, lớp 3 đã được tiếp nhận và gửi tới các bậc phụ huynh ngay từ cuối năm học.",11.375,14.221,1.2502,qualcomm-whisper-large-v3-turbo,0.1,0.064
558,"Sau khi học sinh kết thúc năm học hai nghìn không trăm hai hai hai nghìn không trăm hai ba thì là nhà trường đã cho các em đăng ký mua sách giáo khoa và gửi tập hợp số liệu về phòng giáo dục. Thế và đang chờ sách của chương trình lớp tám. Thế còn đối với sách của lớp sáu, lớp bảy thực hiện chương trình giáo dục phổ thông hai không mười tám thì sách đã về nhà trường. Và qua kết thúc năm học vào tháng sáu khi sách về nhà trường thì qua kênh nhóm zalo của các lớp thì các bậc phụ huynh và các em học sinh đã đến trường để nhận sách để chuẩn bị cho năm học mới.","Sau khi học sinh kết thúc năm học 2022-2023, nhà trường đã cho các em đăng ký mua sách giao khoa và gửi tập hợp số điệu về phòng hóa dục và đang chờ sách của chương trình lớp 8. Đối với sách lớp 6, lớp 7 thực hiện chương trình giao dục của thông 2018, sách đã về nhà trường. Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn",30.381,22.414,0.7378,qualcomm-whisper-large-v3-turbo,0.5826771653543307,0.49640287769784175
559,Lựa chọn sách giáo khóa cho lớp mười năm học hai không hai ba hai không hai tư và dự kiến là trong tháng bảy này sẽ hoàn thành. Và trong tháng bảy này thì nhà trường cũng sẽ quyết định danh mục sách giáo khoa cho năm học mới đối với lớp mười năm học hai không hai ba hai không hai tư để chuẩn bị các em học sinh lớp mười về tập trung nhận lớp thì chúng tôi sẽ có ngay danh mục đó để cho các học sinh và phụ huynh học sinh tham khảo để biết được là năm học tới đối với các em lớp mười sẽ học loại chọn sách gì.,Lựa chọn sách giáo khoa cho lớp 10 năm học 2023-2024 và dự kiến là trong tháng 7 sẽ hoàn thành. Và trong tháng 7 này thì nhà trường cũng sẽ quyết định danh mục sách giáo khoa cho năm học mới đối với lớp 10 năm học 2023-2024. Để chuẩn bị các em học sinh lớp 10 về tập trung nhận lớp thì chúng tôi sẽ có ngay danh mục đó để cho các học sinh và phụ huynh học sinh tham khảo để biết được. Sí.,30.602,24.473,0.7997,qualcomm-whisper-large-v3-turbo,0.3305084745762712,0.2978303747534517
560,Mấy năm trước thì bọn tôi cũng có làm cái cầu bắc sang đây để làm ăn. Theo chủ trương của xã thì bọn tôi bắc qua kênh thì nó có vi phạm. Sau được chủ trương của xã là làm cái đường nông thôn mới. Bọn tôi cũng tự nguyện đồng thuận tháo dỡ công trình.,Mấy năm trước thì bọn tôi cũng có làm cái cầu bắt sang đây để nạp ăn. Theo cái chủ trương của xã thì bọn tôi bắt qua kênh thì nó cũng có vi phạm. Sau được chủ trương của xã là làm cái đường nông thuần mới. Bọn tôi cũng tự nguyện đồng thuận tháo rỡ công trình.,27.245,13.559,0.4977,qualcomm-whisper-large-v3-turbo,0.12280701754385964,0.06938775510204082
